Games Played,Date,Home,Opponent,Goals,Goals Against,Result,Shots on Goal,Penalties in Minutes,Power Play Goals,Power Play Opportunities,SHG,Opponent Shots on Goal,Opponent Penalties in Minutes,Opponent Power Play Goals,Opponent Power Play Opportunities,Oponent SHG,CF = Shots + Blocks + Misses,CA = Shots + Blocks + Misses Against,CF / (CF + CA),FF = Shots + Misses,FA = Shots + Misses Against,FF / (FF + FA),Faceoff Wins,Faceoff Losses,Faceoff Win Percentage,Offensive Zone Faceoffs / (Offensive Zone Faceoffs + Defensive Zone Faceoffs),Shooting % + Save %
18,2015-11-14,,Arizona Coyotes,5,2,W,21,30,2,4.0,0,29,38,0.0,5.0,0.0,21,46,31.3,19,35,35.2,25,30,45.5,26.7,114.7
19,2015-11-17,,St. Louis Blues,3,1,W,38,4,0,4.0,0,20,8,0.0,2.0,0.0,50,35,58.8,38,24,61.3,23,20,53.5,55.2,103.4
20,2015-11-19,1.0,Ottawa Senators,0,3,L,25,32,0,3.0,0,29,17,1.0,5.0,0.0,41,45,47.7,29,29,50.0,20,26,43.5,57.6,90.5
21,2015-11-20,,Nashville Predators,4,0,W,18,6,0,1.0,0,39,2,,3.0,,26,77,25.2,19,54,26.0,19,26,42.2,30.0,130.8
22,2015-11-22,,San Jose Sharks,3,5,L,31,30,0,3.0,0,29,16,1.0,5.0,0.0,43,51,45.7,30,33,47.6,24,32,42.9,48.2,93.7
23,2015-11-25,1.0,New Jersey Devils,2,1,W,25,12,0,2.0,0,28,6,0.0,5.0,0.0,27,34,44.3,24,31,43.6,19,20,48.7,50.4,104.3
24,2015-11-27,,Pittsburgh Penguins,2,1,W,43,17,0,4.0,0,25,17,1.0,4.0,0.0,47,36,56.6,43,28,60.6,27,22,55.1,51.2,105.4
25,2015-11-28,1.0,St. Louis Blues,1,3,L,24,6,0,1.0,0,32,2,1.0,3.0,0.0,37,57,39.4,28,40,41.2,15,30,33.3,37.9,97.9
26,2015-12-01,1.0,Montreal Canadiens,1,2,L,23,13,0,1.0,0,26,20,1.0,4.0,0.0,43,45,48.9,29,32,47.5,28,19,59.6,45.2,99.8
27,2015-12-04,,Florida Panthers,1,2,L,23,2,0,4.0,0,32,8,0.0,2.0,0.0,39,44,47.0,29,32,47.5,34,18,65.4,54.3,101.7
28,2015-12-05,1.0,Philadelphia Flyers,4,1,W,34,9,1,3.0,0,28,11,0.0,2.0,0.0,57,46,55.3,40,32,55.6,29,24,54.7,54.8,106.9
29,2015-12-08,,Los Angeles Kings,2,3,L,23,6,1,2.0,0,41,4,0.0,3.0,0.0,38,73,34.2,29,49,37.2,32,25,56.1,32.0,95.5
30,2015-12-10,1.0,Winnipeg Jets,4,6,L,29,23,1,4.0,0,35,15,1.0,3.0,0.0,41,49,45.6,31,42,42.5,27,19,58.7,55.6,98.9
31,2015-12-12,,New York Islanders,2,3,L,30,6,0,0.0,0,19,0,1.0,3.0,0.0,57,36,61.3,44,25,63.8,23,19,54.8,42.9,93.3
32,2015-12-14,,Tampa Bay Lightning,1,2,L,26,7,0,2.0,0,29,9,0.0,2.0,1.0,49,50,49.5,34,33,50.7,26,20,56.5,34.5,100.5
